销售量,气温,日期,周几
45,2.3,2014/1/1,周三
126,3.3,2014/1/2,周四
109,8.7,2014/1/3,周五
48,4.2,2014/1/4,周六
62,4.4,2014/1/5,周日
129,9.1,2014/1/6,周一
59,5.4,2014/1/7,周二
35,0.2,2014/1/8,周三
47,1.9,2014/1/9,周四
74,2.7,2014/1/10,周五
59,7.7,2014/1/11,周六
63,5.1,2014/1/12,周日
57,5.2,2014/1/13,周一
92,4.3,2014/1/14,周二
78,2.3,2014/1/15,周三
79,9.4,2014/1/16,周四
127,5.5,2014/1/17,周五
69,-1.9,2014/1/18,周六
113,6.1,2014/1/19,周日
56,2.6,2014/1/20,周一
60,0.8,2014/1/21,周二
107,3.3,2014/1/22,周三
100,0.9,2014/1/23,周四
52,1.8,2014/1/24,周五
85,2.1,2014/1/25,周六
78,-1.1,2014/1/26,周日
118,6.5,2014/1/27,周一
96,4.5,2014/1/28,周二
77,0.6,2014/1/29,周三
98,7.8,2014/1/30,周四
113,5.3,2014/1/31,周五
176,6.9,2014/2/1,周六
42,3,2014/2/2,周日
32,1.7,2014/2/3,周一
70,5.8,2014/2/4,周二
80,4.4,2014/2/5,周三
131,10.8,2014/2/6,周四
85,9.4,2014/2/7,周五
103,6.5,2014/2/8,周六
58,2.6,2014/2/9,周日
73,4.1,2014/2/10,周一
94,10.6,2014/2/11,周二
77,2.5,2014/2/12,周三
64,10.8,2014/2/13,周四
67,5,2014/2/14,周五
83,4.3,2014/2/15,周六
42,3.4,2014/2/16,周日
115,12.1,2014/2/17,周一
117,1.7,2014/2/18,周二
94,7.2,2014/2/19,周三
96,9.4,2014/2/20,周四
105,7.6,2014/2/21,周五
96,6.9,2014/2/22,周六
161,8.1,2014/2/23,周日
40,5.2,2014/2/24,周一
133,5,2014/2/25,周二
118,3,2014/2/26,周三
35,3.5,2014/2/27,周四
51,1.4,2014/2/28,周五
92,8.9,2014/3/1,周六
107,9.3,2014/3/2,周日
101,7.2,2014/3/3,周一
125,6.8,2014/3/4,周二
88,8.6,2014/3/5,周三
117,9.2,2014/3/6,周四
124,12.6,2014/3/7,周五
135,7.3,2014/3/8,周六
94,9.6,2014/3/9,周日
167,8.4,2014/3/10,周一
118,9.9,2014/3/11,周二
103,9.3,2014/3/12,周三
146,14,2014/3/13,周四
83,8.8,2014/3/14,周五
127,12.2,2014/3/15,周六
83,7,2014/3/16,周日
53,5.9,2014/3/17,周一
72,6.7,2014/3/18,周二
91,10.1,2014/3/19,周三
114,10.3,2014/3/20,周四
76,8,2014/3/21,周五
165,12.9,2014/3/22,周六
78,14,2014/3/23,周日
86,10.2,2014/3/24,周一
169,7.9,2014/3/25,周二
95,9.2,2014/3/26,周三
137,12.8,2014/3/27,周四
86,8.2,2014/3/28,周五
98,4,2014/3/29,周六
96,7.9,2014/3/30,周日
84,11.6,2014/3/31,周一
136,17.3,2014/4/1,周二
93,9.5,2014/4/2,周三
143,16.1,2014/4/3,周四
141,19.6,2014/4/4,周五
124,9.6,2014/4/5,周六
121,16,2014/4/6,周日
117,13.1,2014/4/7,周一
69,9.2,2014/4/8,周二
81,9.4,2014/4/9,周三
120,9.1,2014/4/10,周四
160,12.3,2014/4/11,周五
119,9.5,2014/4/12,周六
175,16,2014/4/13,周日
157,20.2,2014/4/14,周一
103,10,2014/4/15,周二
151,16.3,2014/4/16,周三
175,16.2,2014/4/17,周四
134,14.9,2014/4/18,周五
95,10.9,2014/4/19,周六
146,13.5,2014/4/20,周日
137,13.1,2014/4/21,周一
165,15.6,2014/4/22,周二
101,12.8,2014/4/23,周三
173,16.8,2014/4/24,周四
74,12.8,2014/4/25,周五
151,17.1,2014/4/26,周六
88,10.8,2014/4/27,周日
98,10.1,2014/4/28,周一
175,23.6,2014/4/29,周二
133,12.6,2014/4/30,周三
121,15,2014/5/1,周四
197,22,2014/5/2,周五
136,17.2,2014/5/3,周六
92,15.6,2014/5/4,周日
125,17.5,2014/5/5,周一
193,17.6,2014/5/6,周二
172,21.5,2014/5/7,周三
186,18.5,2014/5/8,周四
156,20.5,2014/5/9,周五
131,16.7,2014/5/10,周六
183,18.8,2014/5/11,周日
194,17.2,2014/5/12,周一
144,18.5,2014/5/13,周二
156,15.5,2014/5/14,周三
134,14.3,2014/5/15,周四
197,24.2,2014/5/16,周五
179,20,2014/5/17,周六
163,14.4,2014/5/18,周日
120,16.4,2014/5/19,周一
136,14.6,2014/5/20,周二
191,24.8,2014/5/21,周三
163,22.1,2014/5/22,周四
163,17.4,2014/5/23,周五
175,19.8,2014/5/24,周六
92,17,2014/5/25,周日
131,16.8,2014/5/26,周一
102,15.8,2014/5/27,周二
133,16.4,2014/5/28,周三
143,23.2,2014/5/29,周四
119,18,2014/5/30,周五
169,18.6,2014/5/31,周六
140,16.8,2014/6/1,周日
167,25.2,2014/6/2,周一
145,23.5,2014/6/3,周二
150,18,2014/6/4,周三
179,21,2014/6/5,周四
139,18.6,2014/6/6,周五
117,19.7,2014/6/7,周六
162,23,2014/6/8,周日
170,24.1,2014/6/9,周一
119,24.3,2014/6/10,周二
189,23.6,2014/6/11,周三
111,21.1,2014/6/12,周四
113,11.6,2014/6/13,周五
172,23.1,2014/6/14,周六
148,24.2,2014/6/15,周日
161,23,2014/6/16,周一
170,17.9,2014/6/17,周二
168,22.9,2014/6/18,周三
193,24.4,2014/6/19,周四
110,17.1,2014/6/20,周五
176,23.1,2014/6/21,周六
171,28.9,2014/6/22,周日
124,16.6,2014/6/23,周一
177,23.9,2014/6/24,周二
192,20.5,2014/6/25,周三
116,17.3,2014/6/26,周四
139,18.7,2014/6/27,周五
220,21.5,2014/6/28,周六
122,20.3,2014/6/29,周日
118,17.3,2014/6/30,周一
188,24.2,2014/7/1,周二
210,31.4,2014/7/2,周三
237,29.2,2014/7/3,周四
163,25.1,2014/7/4,周五
