品名,日期,销售额
关东煮,2015/3/1,4046
关东煮,2015/3/2,3437
关东煮,2015/3/3,3191
关东煮,2015/3/4,3499
关东煮,2015/3/5,3536
关东煮,2015/3/6,3841
关东煮,2015/3/7,4249
关东煮,2015/3/8,4557
关东煮,2015/3/9,3283
关东煮,2015/3/10,3222
关东煮,2015/3/11,3547
关东煮,2015/3/12,3220
关东煮,2015/3/13,4375
关东煮,2015/3/14,4286
关东煮,2015/3/15,3889
关东煮,2015/3/16,3510
关东煮,2015/3/17,3085
关东煮,2015/3/18,2952
关东煮,2015/3/19,3138
关东煮,2015/3/20,4609
关东煮,2015/3/21,4554
关东煮,2015/3/22,4388
关东煮,2015/3/23,3341
关东煮,2015/3/24,3571
关东煮,2015/3/25,3351
关东煮,2015/3/26,3386
关东煮,2015/3/27,4262
关东煮,2015/3/28,4305
关东煮,2015/3/29,4047
关东煮,2015/3/30,3021
关东煮,2015/3/31,3551
关东煮,2015/4/1,3511
关东煮,2015/4/2,3374
关东煮,2015/4/3,4475
关东煮,2015/4/4,3823
关东煮,2015/4/5,4206
关东煮,2015/4/6,3418
关东煮,2015/4/7,3066
关东煮,2015/4/8,3132
关东煮,2015/4/9,3076
关东煮,2015/4/10,3923
关东煮,2015/4/11,4153
关东煮,2015/4/12,4152
关东煮,2015/4/13,3165
关东煮,2015/4/14,3024
关东煮,2015/4/15,3015
关东煮,2015/4/16,3076
关东煮,2015/4/17,4196
关东煮,2015/4/18,4027
关东煮,2015/4/19,4527
关东煮,2015/4/20,2955
关东煮,2015/4/21,3212
关东煮,2015/4/22,3444
关东煮,2015/4/23,3004
关东煮,2015/4/24,4277
关东煮,2015/4/25,3977
关东煮,2015/4/26,3910
关东煮,2015/4/27,3415
关东煮,2015/4/28,3507
关东煮,2015/4/29,3168
关东煮,2015/4/30,3357
关东煮,2015/5/1,3883
关东煮,2015/5/2,4127
关东煮,2015/5/3,4034
关东煮,2015/5/4,3455
关东煮,2015/5/5,3217
关东煮,2015/5/6,3452
关东煮,2015/5/7,3453
关东煮,2015/5/8,4474
关东煮,2015/5/9,4174
关东煮,2015/5/10,4440
关东煮,2015/5/11,3334
关东煮,2015/5/12,3387
关东煮,2015/5/13,2925
关东煮,2015/5/14,3234
关东煮,2015/5/15,3989
关东煮,2015/5/16,4123
关东煮,2015/5/17,4320
关东煮,2015/5/18,3154
关东煮,2015/5/19,2997
关东煮,2015/5/20,3083
关东煮,2015/5/21,3359
关东煮,2015/5/22,4155
关东煮,2015/5/23,4469
关东煮,2015/5/24,3889
关东煮,2015/5/25,3208
关东煮,2015/5/26,3565
关东煮,2015/5/27,3505
关东煮,2015/5/28,3501
关东煮,2015/5/29,3950
关东煮,2015/5/30,3913
大阪烧,2015/3/1,5895
大阪烧,2015/3/2,4262
大阪烧,2015/3/3,4538
大阪烧,2015/3/4,4242
大阪烧,2015/3/5,4125
大阪烧,2015/3/6,6043
大阪烧,2015/3/7,5255
大阪烧,2015/3/8,5682
大阪烧,2015/3/9,4410
大阪烧,2015/3/10,4488
大阪烧,2015/3/11,4253
大阪烧,2015/3/12,4390
大阪烧,2015/3/13,6240
大阪烧,2015/3/14,5700
大阪烧,2015/3/15,6167
大阪烧,2015/3/16,4765
大阪烧,2015/3/17,4496
大阪烧,2015/3/18,4321
大阪烧,2015/3/19,4089
大阪烧,2015/3/20,6218
大阪烧,2015/3/21,5493
大阪烧,2015/3/22,5217
大阪烧,2015/3/23,4794
大阪烧,2015/3/24,4594
大阪烧,2015/3/25,4085
大阪烧,2015/3/26,4443
大阪烧,2015/3/27,6239
大阪烧,2015/3/28,5818
大阪烧,2015/3/29,5611
大阪烧,2015/3/30,4530
大阪烧,2015/3/31,4241
大阪烧,2015/4/1,4231
大阪烧,2015/4/2,4153
大阪烧,2015/4/3,5571
大阪烧,2015/4/4,6274
大阪烧,2015/4/5,5324
大阪烧,2015/4/6,4040
大阪烧,2015/4/7,4085
大阪烧,2015/4/8,4567
大阪烧,2015/4/9,4505
大阪烧,2015/4/10,6168
大阪烧,2015/4/11,5918
大阪烧,2015/4/12,5991
大阪烧,2015/4/13,4419
大阪烧,2015/4/14,4541
大阪烧,2015/4/15,4683
大阪烧,2015/4/16,4652
大阪烧,2015/4/17,6269
大阪烧,2015/4/18,5651
大阪烧,2015/4/19,5505
大阪烧,2015/4/20,4320
大阪烧,2015/4/21,3969
大阪烧,2015/4/22,4122
大阪烧,2015/4/23,4702
大阪烧,2015/4/24,5412
大阪烧,2015/4/25,5422
大阪烧,2015/4/26,5236
大阪烧,2015/4/27,4176
大阪烧,2015/4/28,4604
大阪烧,2015/4/29,4706
大阪烧,2015/4/30,4398
