数额,损失,date,活动日,周几
2362,1,2014-10-01,no,周三
1315,0,2014-10-02,no,周四
809,0,2014-10-03,no,周五
816,0,2014-10-04,no,周六
400,0,2014-10-05,no,周日
646,0,2014-10-06,no,周一
637,0,2014-10-07,no,周二
874,0,2014-10-08,no,周三
979,0,2014-10-09,no,周四
1562,1,2014-10-10,yes,周五
1528,1,2014-10-11,no,周六
441,0,2014-10-12,no,周日
844,0,2014-10-13,no,周一
1002,0,2014-10-14,no,周二
2228,1,2014-10-15,yes,周三
859,0,2014-10-16,no,周四
1238,0,2014-10-17,no,周五
768,0,2014-10-18,no,周六
1101,0,2014-10-19,no,周日
741,0,2014-10-20,no,周一
745,0,2014-10-21,no,周二
1415,0,2014-10-22,no,周三
1608,1,2014-10-23,no,周四
1488,0,2014-10-24,no,周五
595,0,2014-10-25,no,周六
947,0,2014-10-26,no,周日
960,0,2014-10-27,no,周一
1026,0,2014-10-28,no,周二
2189,1,2014-10-29,no,周三
572,0,2014-10-30,no,周四
1135,0,2014-10-31,no,周五
1414,0,2014-11-01,no,周六
909,0,2014-11-02,no,周日
786,0,2014-11-03,no,周一
426,0,2014-11-04,no,周二
603,0,2014-11-05,no,周三
1055,0,2014-11-06,no,周四
904,0,2014-11-07,no,周五
1160,0,2014-11-08,no,周六
599,0,2014-11-09,no,周日
1421,0,2014-11-10,no,周一
769,0,2014-11-11,no,周二
2100,1,2014-11-12,no,周三
916,0,2014-11-13,no,周四
738,0,2014-11-14,no,周五
1090,0,2014-11-15,no,周六
805,0,2014-11-16,no,周日
738,0,2014-11-17,no,周一
846,0,2014-11-18,no,周二
701,0,2014-11-19,no,周三
991,0,2014-11-20,no,周四
977,0,2014-11-21,no,周五
1091,0,2014-11-22,no,周六
1104,0,2014-11-23,no,周日
321,0,2014-11-24,no,周一
2348,1,2014-11-25,yes,周二
1872,1,2014-11-26,no,周三
737,0,2014-11-27,no,周四
950,0,2014-11-28,no,周五
563,0,2014-11-29,no,周六
1081,0,2014-11-30,no,周日
1489,0,2014-12-01,no,周一
871,0,2014-12-02,no,周二
1039,0,2014-12-03,no,周三
967,0,2014-12-04,no,周四
746,0,2014-12-05,no,周五
1391,0,2014-12-06,no,周六
570,0,2014-12-07,no,周日
1599,1,2014-12-08,no,周一
1229,0,2014-12-09,no,周二
1293,0,2014-12-10,no,周三
1579,1,2014-12-11,no,周四
1934,1,2014-12-12,no,周五
963,0,2014-12-13,no,周六
779,0,2014-12-14,no,周日
873,0,2014-12-15,no,周一
737,0,2014-12-16,no,周二
623,0,2014-12-17,no,周三
1103,0,2014-12-18,no,周四
764,0,2014-12-19,no,周五
1001,0,2014-12-20,no,周六
745,0,2014-12-21,no,周日
960,0,2014-12-22,no,周一
1233,0,2014-12-23,no,周二
1776,1,2014-12-24,no,周三
692,0,2014-12-25,no,周四
1073,0,2014-12-26,no,周五
974,0,2014-12-27,no,周六
753,0,2014-12-28,no,周日
399,0,2014-12-29,no,周一
324,0,2014-12-30,no,周二
770,0,2014-12-31,no,周三
387,0,2015-01-01,no,周四
343,0,2015-01-02,no,周五
423,0,2015-01-03,no,周六
732,0,2015-01-04,no,周日
624,0,2015-01-05,no,周一
678,0,2015-01-06,no,周二
79,0,2015-01-07,no,周三
599,0,2015-01-08,no,周四
1385,0,2015-01-09,no,周五
710,0,2015-01-10,no,周六
1360,0,2015-01-11,no,周日
890,0,2015-01-12,no,周一
1383,0,2015-01-13,yes,周二
1158,0,2015-01-14,yes,周三
951,0,2015-01-15,yes,周四
777,0,2015-01-16,yes,周五
766,0,2015-01-17,no,周六
1925,1,2015-01-18,no,周日
1015,0,2015-01-19,no,周一
894,0,2015-01-20,no,周二
1909,1,2015-01-21,no,周三
849,0,2015-01-22,no,周四
564,0,2015-01-23,no,周五
